customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00001,Male,0,Yes,No,63,Yes,DSL,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,107.95,6944.91,Yes
CUST00002,Female,0,Yes,No,15,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,73.87,1178.69,Yes
CUST00003,Female,0,No,Yes,57,Yes,DSL,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,25.76,1400.75,No
CUST00004,Male,0,Yes,No,27,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,52.51,1464.85,No
CUST00005,Male,0,No,Yes,7,Yes,DSL,No,No,No,No,Yes,One year,No,Bank transfer,54.36,422.75,No
CUST00006,Female,0,No,No,35,Yes,Fiber optic,No,No,No,No,Yes,One year,Yes,Mailed check,85.89,3143.95,No
CUST00007,Male,0,No,No,34,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.83,1315.1,Yes
CUST00008,Female,0,Yes,No,36,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,97.6,3495.02,Yes
CUST00009,Male,0,Yes,No,62,Yes,DSL,Yes,No,Yes,Yes,No,Two year,Yes,Mailed check,85.89,5359.84,No
CUST00010,Male,0,No,Yes,20,Yes,DSL,No,Yes,Yes,No,No,Two year,Yes,Electronic check,99.5,1991.45,No
CUST00011,Female,0,No,No,46,Yes,Fiber optic,,No,Yes,Yes,Yes,One year,No,Credit card,57.5,2533.78,No
CUST00012,Female,0,No,Yes,14,No,DSL,No,Yes,No,No,No,Month-to-month,No,Bank transfer,83.91,1255.93,Yes
CUST00013,Female,0,Yes,Yes,64,Yes,DSL,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,48.1,3206.25,No
CUST00014,Female,0,Yes,Yes,33,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,90.92,3012.63,No
CUST00015,Female,0,Yes,No,58,Yes,Fiber optic,Yes,No,No,Yes,No,Month-to-month,No,Credit card,68.07,3846.25,Yes
CUST00016,Female,0,No,No,19,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,70.52,1330.83,No
CUST00017,Female,0,Yes,No,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer,73.18,1537.22,No
CUST00018,Male,0,No,No,71,Yes,DSL,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,30.47,2142.64,No
CUST00019,Female,1,Yes,No,14,Yes,DSL,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,103.75,1467.34,Yes
CUST00020,Male,0,Yes,No,40,Yes,DSL,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.07,3095.28,Yes
CUST00021,Female,1,No,No,23,Yes,DSL,No,Yes,Yes,Yes,No,One year,No,Bank transfer,103.85,2500.96,No
CUST00022,Male,0,No,No,28,Yes,Fiber optic,No,No,No,Yes,No,Month-to-month,Yes,Credit card,102.0,2906.17,Yes
CUST00023,Male,0,No,No,50,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,53.67,2598.86,No
CUST00024,Female,0,Yes,No,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,67.25,,No
CUST00025,Female,0,No,Yes,35,Yes,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,35.23,1210.19,Yes
CUST00026,Female,1,Yes,No,46,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,104.65,4800.06,No
CUST00027,Male,0,No,No,3,No,Fiber optic,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,82.12,245.24,Yes
CUST00028,Female,1,No,No,17,Yes,DSL,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer,79.03,1354.32,No
CUST00029,Female,1,Yes,Yes,54,Yes,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card,67.1,3704.41,No
CUST00030,Male,0,No,Yes,48,Yes,Fiber optic,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,49.76,2428.23,No
CUST00031,Male,0,Yes,No,3,Yes,DSL,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,106.07,223.37,No
CUST00032,Male,0,Yes,No,65,Yes,DSL,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,124.14,7948.93,Yes
CUST00033,Male,0,Yes,No,29,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,107.04,3156.18,No
CUST00034,Female,0,Yes,No,22,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,69.82,1579.14,No
CUST00035,Female,0,No,No,33,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,83.75,2864.64,No
CUST00036,Male,1,No,No,28,No,DSL,,No,No,No,No,Month-to-month,No,Mailed check,100.75,2813.12,No
CUST00037,Female,0,No,Yes,36,No,Fiber optic,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,76.35,2771.0,Yes
CUST00038,Female,0,No,Yes,11,Yes,Fiber optic,Yes,No,No,Yes,Yes,One year,Yes,Credit card,122.62,1387.01,No
CUST00039,Male,0,No,No,10,Yes,DSL,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,105.21,927.75,Yes
CUST00040,Female,0,Yes,No,72,Yes,DSL,Yes,No,No,Yes,No,Two year,No,Electronic check,143.64,10213.1,No
CUST00041,Male,1,Yes,No,54,Yes,Fiber optic,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,78.86,4317.31,Yes
CUST00042,Female,0,Yes,No,26,Yes,Fiber optic,No,No,No,Yes,Yes,One year,Yes,Mailed check,18.0,497.54,No
CUST00043,Female,1,No,Yes,62,Yes,DSL,Yes,No,No,Yes,No,Month-to-month,No,Credit card,75.8,4807.34,No
CUST00044,Male,0,No,No,58,Yes,Fiber optic,No,No,Yes,No,No,Two year,Yes,Electronic check,64.51,3889.08,No
CUST00045,Male,1,No,Yes,50,Yes,DSL,No,Yes,Yes,No,Yes,Two year,No,Mailed check,78.32,3891.97,No
CUST00046,Female,0,Yes,No,52,Yes,DSL,Yes,No,Yes,No,No,One year,No,Bank transfer,118.58,6137.96,No
CUST00047,Male,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,60.45,4062.52,Yes
CUST00048,Female,0,No,No,60,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,53.21,3234.05,No
CUST00049,Female,0,Yes,No,18,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,57.83,876.28,Yes
CUST00050,Female,0,No,No,53,Yes,Fiber optic,Yes,Yes,Yes,No,No,Two year,No,Bank transfer,127.85,6698.42,No
CUST00051,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,62.48,711.97,Yes
CUST00052,Male,0,Yes,Yes,36,Yes,DSL,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,80.49,,No
CUST00053,Male,0,No,No,4,Yes,Fiber optic,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,120.16,476.86,No
CUST00054,Male,0,No,Yes,12,Yes,Fiber optic,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,90.59,1070.52,Yes
CUST00055,Male,0,No,Yes,52,No,DSL,No,No,Yes,Yes,No,One year,Yes,Credit card,18.0,847.04,No
CUST00056,Male,0,No,No,27,Yes,DSL,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer,61.92,1506.57,No
CUST00057,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card,57.68,690.49,No
CUST00058,Male,0,No,Yes,71,Yes,Fiber optic,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,30.43,2146.3,No
CUST00059,Female,0,No,No,68,Yes,DSL,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card,62.09,4249.29,No
CUST00060,Female,0,No,No,16,No,Fiber optic,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card,18.0,283.32,No
CUST00061,Female,0,No,No,43,Yes,Fiber optic,No,No,No,Yes,Yes,Two year,No,Mailed check,82.13,3525.48,No
CUST00062,Female,0,Yes,No,21,Yes,DSL,Yes,No,Yes,Yes,No,Two year,No,Electronic check,74.19,1571.07,No
CUST00063,Male,1,Yes,No,58,Yes,DSL,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,56.3,3250.01,No
CUST00064,Female,0,No,No,50,Yes,DSL,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,28.76,1410.92,Yes
CUST00065,Male,0,No,No,31,Yes,Fiber optic,Yes,Yes,No,Yes,No,Two year,Yes,Credit card,108.86,3294.26,No
CUST00066,Male,0,Yes,Yes,67,No,Fiber optic,No,Yes,No,Yes,Yes,One year,No,Credit card,59.79,4204.53,No
CUST00067,Female,0,Yes,No,53,No,DSL,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.44,5456.88,Yes
CUST00068,Male,0,No,No,11,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,70.86,898.74,Yes
CUST00069,Male,0,No,No,32,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer,110.48,3636.88,Yes
CUST00070,Male,0,No,No,60,Yes,Fiber optic,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer,88.61,5294.26,No
CUST00071,Female,0,Yes,No,39,Yes,DSL,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,76.79,2980.27,No
CUST00072,Male,0,No,No,7,Yes,DSL,Yes,No,No,No,No,One year,No,Mailed check,53.01,371.3,No
CUST00073,Male,0,No,No,56,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,106.48,5933.75,No
CUST00074,Male,1,No,No,35,Yes,DSL,No,No,No,Yes,No,One year,Yes,Credit card,68.86,2480.33,No
CUST00075,Female,1,Yes,No,17,Yes,DSL,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card,53.63,846.63,Yes
CUST00076,Male,1,No,No,59,Yes,Fiber optic,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer,70.07,4048.78,No
CUST00077,Male,1,No,No,64,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,72.85,4558.69,No
CUST00078,Male,0,No,No,42,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,95.85,3999.78,No
CUST00079,Female,0,No,Yes,52,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,26.95,1363.65,No
CUST00080,Female,0,No,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,133.58,2221.36,No
CUST00081,Female,0,Yes,No,54,Yes,DSL,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer,85.58,4628.02,No
CUST00082,Male,0,No,Yes,66,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,73.6,4764.33,No
